axis,axis_bin,axis_min,axis_max,par_0,par_1,par_2,err_0,err_1,err_2,bootstraps_0,bootstraps_1,bootstraps_2
missing_mass,0,0.3313630223274231,1.4727568626403809,0.02438950724899769,2.5002738768264976e-10,-1.8779952593028781e-10,0.00863543339073658,9.674784307023288e-10,9.819037805058883e-10,"[0.01462541 0.03030321 0.01610036 0.03473023 0.02609699 0.03035944
 0.02214028 0.03302224 0.03254876 0.01825421 0.03208559 0.01711695
 0.02364599 0.02830549 0.03167057 0.03446319 0.00799156 0.01945124
 0.00786    0.02775087 0.02659836 0.00755584 0.02161375 0.0273584
 0.01786243 0.02216482 0.02020067 0.01848634 0.02214354 0.02929097
 0.03167689 0.04698962]","[ 1.000000e-09  1.000000e-09 -9.877158e-10 -1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09  9.885930e-10
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09]","[-1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
  9.904148e-10 -1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09]"
missing_mass,1,1.4727568626403809,1.6407769918441772,0.0700681135058403,-8.749999613755222e-10,-5.841785388760456e-10,0.006354774348437786,4.841229084284748e-10,7.90615517498594e-10,"[0.06998736 0.07396777 0.06525153 0.06873015 0.07448962 0.07056819
 0.06872163 0.07428838 0.06316203 0.05540589 0.06195374 0.08459453
 0.06081766 0.07812938 0.06582112 0.07344268 0.07178823 0.05866372
 0.06874885 0.06863314 0.06741279 0.08287449 0.06997038 0.06513973
 0.06797838 0.07772322 0.07254952 0.07053825 0.06657837 0.07330278
 0.07776811 0.073178  ]","[-1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09]","[ 9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10  9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
  8.3970336e-10  9.9999997e-10 -9.9999997e-10  9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
  4.6658205e-10 -9.9999997e-10 -9.9999997e-10  9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10]"
missing_mass,2,1.6407769918441772,1.8223823547363285,0.0454324334859848,-9.404358403131141e-10,4.3479131406343186e-10,0.008418637327849865,3.3163891077769847e-10,8.976466236987335e-10,"[0.02519144 0.04085778 0.04287243 0.03329353 0.04224687 0.04759711
 0.04262319 0.04980101 0.05523666 0.05069607 0.03242245 0.04726662
 0.04361844 0.05681591 0.04373352 0.04877694 0.04931888 0.04929564
 0.04306359 0.04607111 0.04791589 0.05092509 0.04458294 0.04379774
 0.05075569 0.04489869 0.04459435 0.03551018 0.0299615  0.05316336
 0.04512956 0.07180376]","[-1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09  9.060514e-10 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09]","[ 1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  9.141516e-10 -1.000000e-09  9.991715e-10 -1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09]"
missing_mass,3,1.8223823547363285,2.0088050365448002,0.025735069066286087,-9.999999717180685e-10,-6.249999406904294e-10,0.009044668637216091,0.0,7.806247315222947e-10,"[0.01921429 0.02170623 0.01133804 0.03280555 0.01845005 0.03999762
 0.01963869 0.04475472 0.02259642 0.02372329 0.02527156 0.02697089
 0.01467875 0.02878612 0.02344134 0.03146013 0.01989746 0.03079308
 0.02687744 0.03388393 0.01135091 0.00699063 0.0082415  0.03339539
 0.02238281 0.03452402 0.02660209 0.03052767 0.03170476 0.02738574
 0.03838504 0.03574605]","[-1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09]","[-1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09  1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
  1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09]"
missing_mass,4,2.0088050365448002,2.495670318603516,0.04156780615448952,1.1314641584769802e-10,9.256463928686287e-10,0.008556612767279148,9.838632131220493e-10,3.5209060667007464e-10,"[0.04484738 0.04938154 0.03836375 0.05065559 0.02433234 0.04908901
 0.03563924 0.04214793 0.01918101 0.0511238  0.04524444 0.04852587
 0.04156992 0.0432094  0.04226762 0.04511056 0.04741544 0.03772689
 0.0536131  0.04303977 0.04515145 0.03394783 0.05290492 0.03447276
 0.04282059 0.03644607 0.05607416 0.04112229 0.03992686 0.04092672
 0.02555947 0.0283321 ]","[ 1.000000e-09 -1.000000e-09  1.000000e-09  6.206849e-10 -1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09]","[ 1.000000e-09  1.000000e-09  1.000000e-09  6.206849e-10  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09]"
pt,0,0.00048771032015793025,0.24376809895038604,0.037536248564720154,-9.166976067120913e-10,8.656745320578807e-10,0.007634602952748537,3.335876297416718e-10,4.813030529682294e-10,"[0.04312864 0.02576175 0.04098389 0.04518242 0.02447692 0.04249814
 0.04393339 0.02253027 0.04106058 0.03032771 0.04670796 0.03440867
 0.03554505 0.04947435 0.03272552 0.03231116 0.03734402 0.03181786
 0.04509446 0.03963336 0.02439698 0.04733966 0.02884358 0.05268866
 0.04197167 0.03151555 0.04119234 0.0377821  0.03354735 0.04214202
 0.03328824 0.04150568]","[-9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -6.3719425e-12 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
  6.7204770e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10]","[ 1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  6.720477e-10  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
 -9.704614e-10  1.000000e-09]"
pt,1,0.24376809895038604,0.34273970723152164,0.043204743415117264,-2.6279065035161864e-10,-3.2529068327846744e-10,0.006835052743554115,9.542510115423397e-10,9.347940199688765e-10,"[0.04596679 0.0456974  0.04067172 0.05080922 0.04663708 0.02999955
 0.04469597 0.04354678 0.04572254 0.04482563 0.05389913 0.03392123
 0.04562565 0.0541188  0.04406488 0.04109601 0.04589041 0.04321055
 0.04532424 0.04325883 0.04945425 0.04735877 0.02438458 0.05091557
 0.03970764 0.04227479 0.03765314 0.05219148 0.03723079 0.03335027
 0.03169911 0.04734894]","[-1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09  5.906984e-10 -1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09 -1.000000e-09]","[ 1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
 -1.000000e-09  5.906984e-10 -1.000000e-09  1.000000e-09  1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09]"
pt,2,0.34273970723152164,0.4355104923248291,0.043002523481845856,-4.35088520767124e-10,-6.317584233528351e-10,0.006589745171368122,8.970222897808355e-10,7.669935797594007e-10,"[0.04189654 0.04409849 0.03905947 0.04236633 0.04620975 0.05443343
 0.05057592 0.04241285 0.03076429 0.03375184 0.03015234 0.04309026
 0.04090303 0.04898148 0.04606654 0.03959889 0.04938436 0.0390589
 0.04361704 0.04969281 0.03856624 0.04054587 0.04965106 0.04383607
 0.05262359 0.04001462 0.03157552 0.03281134 0.05567163 0.04533349
 0.04070007 0.04863676]","[ 1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -9.627077e-10 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09 -9.492979e-10 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09  9.891724e-10 -1.000000e-09
 -1.000000e-09 -1.000000e-09]","[-1.000000e-09 -1.000000e-09  1.000000e-09  9.984704e-10 -1.000000e-09
  8.333791e-10  9.627077e-10 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09  9.891724e-10 -1.000000e-09
 -1.000000e-09 -1.000000e-09]"
pt,3,0.4355104923248291,0.5507847785949707,0.05249430984258652,-8.157626241178662e-10,6.854646850129598e-10,0.008644391782581806,5.729033913937087e-10,7.232341392438002e-10,"[0.05605841 0.04697491 0.05207771 0.04673624 0.05506111 0.05135883
 0.05680108 0.04875892 0.05311578 0.05648034 0.05598156 0.05039988
 0.06224082 0.04441353 0.07617627 0.05218109 0.05456547 0.0526403
 0.05487552 0.04851842 0.05093519 0.04689505 0.0351642  0.06304939
 0.04507279 0.04548632 0.03335248 0.06950655 0.0434713  0.06676055
 0.05094294 0.05376492]","[-9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10  9.7374009e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
  9.2185454e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10  9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10]","[ 1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
 -9.737401e-10  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  9.086112e-10  1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09]"
pt,4,0.5507847785949707,1.2464019060134888,0.025807514786720276,2.8513913452599127e-10,-2.7736082874874057e-10,0.006868006195873022,9.423001268160647e-10,9.446189386252968e-10,"[0.03076211 0.02097506 0.03070965 0.01496456 0.03111287 0.022283
 0.01788476 0.03064506 0.0254507  0.02809417 0.0195051  0.02332279
 0.03166449 0.01494608 0.01273154 0.0307761  0.03015446 0.02661181
 0.03258118 0.02036695 0.02105096 0.03806354 0.03315007 0.02964187
 0.03064843 0.01303143 0.02154981 0.02928732 0.02218001 0.02631545
 0.02455105 0.04082811]","[ 1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09  1.000000e-09  1.000000e-09 -1.000000e-09
  1.000000e-09  1.000000e-09  1.000000e-09  1.244525e-10  1.000000e-09
 -1.000000e-09  1.000000e-09]","[ 1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09 -1.000000e-09  1.000000e-09  1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.244525e-10  1.000000e-09
 -1.000000e-09 -1.000000e-09]"
q2,0,1.0000007152557373,1.3398075580596922,0.0241551510989666,-5.66314828365222e-10,-8.269496198920478e-10,0.007558912038803101,8.198313694585124e-10,5.421590398846377e-10,"[0.01235109 0.01192142 0.02980174 0.02178792 0.0352074  0.02741496
 0.02543979 0.0290903  0.02051123 0.03219312 0.01464367 0.01328961
 0.03007406 0.01615188 0.02179997 0.02576004 0.03840752 0.03405496
 0.03045357 0.020627   0.01262206 0.02604143 0.02274753 0.01794899
 0.03021333 0.01823067 0.03724216 0.02486636 0.01869845 0.02836523
 0.01467299 0.03033435]","[-1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
  1.000000e-09  1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09 -1.000000e-09
 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09 -1.000000e-09
  8.779241e-10 -1.000000e-09 -1.000000e-09 -1.000000e-09  1.000000e-09
 -1.000000e-09  1.000000e-09]","[-9.9999997e-10 -9.9999997e-10  5.3761223e-10  9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10  9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10
 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10 -9.9999997e-10]"
q2,1,1.3398075580596922,1.5733779430389403,0.04448286443948746,-9.999999717180685e-10,-5.624999355191562e-10,0.00881928764283657,0.0,8.267972972930693e-10,"[0.04045279 0.03187394 0.04748777 0.0486582  0.04174427 0.04019364
 0.0526328  0.04910058 0.04249908 0.03419757 0.0569178  0.0316922
 0.04863038 0.04210158 0.0346855  0.05177781 0.0580515  0.05222769
 0.03449952 0.03463791 0.04081862 0.05361801 0.05438376 0.05038074
 0.02740751 0.03504257 0.03737999 0.05282434 0.05341674 0.0389038
 0.0436741  0.06153899]","[-1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09]","[-1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09  1.e-09
 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09 -1.e-09
  1.e-09 -1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09 -1.e-09 -1.e-09  1.e-09
 -1.e-09 -1.e-09 -1.e-09  1.e-09 -1.e-09]"
